Course name,Course link,Course description,Price,Starting date,Whether it is live or self-paced,Number of lessons,Total duration in number of hours,Who the course is meant for
Data Analytics Foundations,https://vizuara.ai/courses/data-analytics-foundations,"Built for applied learning, this course covers data analytics foundations through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for beginners moving into analytics roles.",$119,2026-06-01,Self-paced,10,12,beginners moving into analytics roles
Data Analytics In Practice,https://vizuara.ai/courses/data-analytics-in-practice,"Built for applied learning, this course covers data analytics in practice through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for marketing, product and operations teams that work with dashboards.",$79,2026-07-13,Self-paced,11,8,"marketing, product and operations teams that work with dashboards"
Python for Data Analysis,https://vizuara.ai/courses/python-for-data-analysis,"This course gives a structured introduction to python for data analysis, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for founders and operators who want to track growth metrics.",$115,2026-12-21,Self-paced,27,24,founders and operators who want to track growth metrics
Python for Data Analysis Advanced,https://vizuara.ai/courses/python-for-data-analysis-advanced,"This course gives a structured introduction to python for data analysis advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for founders and operators who want to track growth metrics.",$99,2027-03-08,Self-paced,20,22,founders and operators who want to track growth metrics
Statistics for Decision Making,https://vizuara.ai/courses/statistics-for-decision-making,"Built for applied learning, this course covers statistics for decision making through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for students preparing for entry-level analyst jobs.",$169,2027-02-22,Live,21,25,students preparing for entry-level analyst jobs
Statistics for Decision Making Advanced,https://vizuara.ai/courses/statistics-for-decision-making-advanced,"A practical course on statistics for decision making advanced that focuses on fundamentals first and then moves into real examples, tools and decision-making patterns that are commonly expected in professional environments. The course is meant for marketing, product and operations teams that work with dashboards.",$200,2027-01-11,Self-paced,22,17,"marketing, product and operations teams that work with dashboards"
SQL for Analysts,https://vizuara.ai/courses/sql-for-analysts,"This course helps learners build strong working knowledge of sql for analysts with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It works well for beginners moving into analytics roles.",$129,2026-07-13,Self-paced,11,11,beginners moving into analytics roles
SQL for Analysts Advanced,https://vizuara.ai/courses/sql-for-analysts-advanced,"This course gives a structured introduction to sql for analysts advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for founders and operators who want to track growth metrics.",$155,2026-07-06,Self-paced,21,19,founders and operators who want to track growth metrics
Excel for Business Analytics,https://vizuara.ai/courses/excel-for-business-analytics,"Designed around real workplace use cases, this programme teaches excel for business analytics through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It works well for marketing, product and operations teams that work with dashboards.",$175,2026-08-03,Self-paced,17,16,"marketing, product and operations teams that work with dashboards"
Excel for Business Analytics Advanced,https://vizuara.ai/courses/excel-for-business-analytics-advanced,"This course gives a structured introduction to excel for business analytics advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for founders and operators who want to track growth metrics.",$65,2026-09-28,Self-paced,11,11,founders and operators who want to track growth metrics
Tableau Reporting Masterclass,https://vizuara.ai/courses/tableau-reporting-masterclass,"This course helps learners build strong working knowledge of tableau reporting masterclass with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for students preparing for entry-level analyst jobs.",$139,2027-01-18,Self-paced,28,30,students preparing for entry-level analyst jobs
Tableau Reporting Masterclass Advanced,https://vizuara.ai/courses/tableau-reporting-masterclass-advanced,"This course helps learners build strong working knowledge of tableau reporting masterclass advanced with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. It is especially useful for marketing, product and operations teams that work with dashboards.",$240,2026-07-27,Live,14,12,"marketing, product and operations teams that work with dashboards"
Power BI for Teams,https://vizuara.ai/courses/power-bi-for-teams,"This course gives a structured introduction to power bi for teams, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. The course is meant for beginners moving into analytics roles.",$229,2027-03-08,Live,14,17,beginners moving into analytics roles
Power BI for Teams Advanced,https://vizuara.ai/courses/power-bi-for-teams-advanced,"Built for applied learning, this course covers power bi for teams advanced through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It works well for students preparing for entry-level analyst jobs.",$155,2026-12-28,Self-paced,23,18,students preparing for entry-level analyst jobs
Forecasting with Time Series,https://vizuara.ai/courses/forecasting-with-time-series,"This course gives a structured introduction to forecasting with time series, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It works well for founders and operators who want to track growth metrics.",$195,2027-03-15,Self-paced,10,9,founders and operators who want to track growth metrics
Forecasting with Time Series Advanced,https://vizuara.ai/courses/forecasting-with-time-series-advanced,"Built for applied learning, this course covers forecasting with time series advanced through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for working professionals who need data skills for business decisions.",$170,2027-03-08,Live,24,16,working professionals who need data skills for business decisions
A/B Testing for Product Teams,https://vizuara.ai/courses/a-b-testing-for-product-teams,"Built for applied learning, this course covers a/b testing for product teams through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. It is ideal for working professionals who need data skills for business decisions.",$109,2026-09-14,Self-paced,19,29,working professionals who need data skills for business decisions
A/B Testing for Product Teams Advanced,https://vizuara.ai/courses/a-b-testing-for-product-teams-advanced,"Designed around real workplace use cases, this programme teaches a/b testing for product teams advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. It is ideal for founders and operators who want to track growth metrics.",$85,2027-03-29,Self-paced,25,17,founders and operators who want to track growth metrics
Customer Analytics,https://vizuara.ai/courses/customer-analytics,"Built for applied learning, this course covers customer analytics through step-by-step modules, mini projects and clear explanations, making it useful for both beginners and professionals looking to upskill. The course is meant for beginners moving into analytics roles.",$120,2026-11-09,Live,28,20,beginners moving into analytics roles
Customer Analytics Advanced,https://vizuara.ai/courses/customer-analytics-advanced,"Designed around real workplace use cases, this programme teaches customer analytics advanced through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for students preparing for entry-level analyst jobs.",$170,2026-12-28,Live,25,22,students preparing for entry-level analyst jobs
Marketing Analytics,https://vizuara.ai/courses/marketing-analytics,"Designed around real workplace use cases, this programme teaches marketing analytics through guided lessons, short projects and templates that help learners apply the skill directly in jobs, internships or startup work. The course is meant for beginners moving into analytics roles.",$170,2026-10-19,Self-paced,22,26,beginners moving into analytics roles
Marketing Analytics Advanced,https://vizuara.ai/courses/marketing-analytics-advanced,"This course gives a structured introduction to marketing analytics advanced, covering the core concepts, hands-on exercises and practical workflows used on modern teams, so learners can move from theory to confident execution. It is ideal for beginners moving into analytics roles.",$160,2026-07-13,Live,10,16,beginners moving into analytics roles
Cohort Analysis and Retention,https://vizuara.ai/courses/cohort-analysis-and-retention,"This course helps learners build strong working knowledge of cohort analysis and retention with case-based lessons, assignments and implementation guidance that make the concepts easier to use in real projects. The course is meant for founders and operators who want to track growth metrics.",$120,2026-07-20,Live,11,13,founders and operators who want to track growth metrics
